ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1743532	7.31e-03	5.89e-07	5.290456	5.87261	0.5260808		
ILMN_1751214	7.87e-03	6.33e-07	-5.273819	5.80456	-0.3891146	STARD3NL	STARD3 N-terminal like
ILMN_1698772	8.90e-03	7.16e-07	5.245721	5.68991	0.6899055	KRT6B	keratin 6B
ILMN_1781764	9.32e-03	7.50e-07	-5.235239	5.64724	-0.6210642	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H')
ILMN_1693896	9.57e-03	7.70e-07	5.229115	5.62233	0.9712264	ATP8A2	ATPase phospholipid transporting 8A2
ILMN_1666966	1.01e-02	8.11e-07	5.217277	5.57423	0.779731	INS	insulin
ILMN_1811313	1.06e-02	8.55e-07	5.205261	5.52547	0.9803349	SLIT3	slit guidance ligand 3
ILMN_1791990	1.12e-02	9.05e-07	-5.192182	5.47248	-0.5911876	EML2	echinoderm microtubule associated protein like 2
ILMN_1664619	1.22e-02	9.82e-07	-5.173428	5.39663	-0.4759987	DCUN1D4	defective in cullin neddylation 1 domain containing 4
ILMN_1795639	1.23e-02	9.88e-07	-5.172057	5.3911	-0.4811615	MGMT	O-6-methylguanine-DNA methyltransferase
ILMN_1770051	1.46e-02	1.18e-06	-5.131672	5.22836	-0.5142579	MIGA1	mitoguardin 1
ILMN_1759987	1.47e-02	1.18e-06	5.130459	5.22348	0.7647875	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
ILMN_1759954	1.60e-02	1.29e-06	-5.111154	5.14598	-0.6724935	PTMA	prothymosin, alpha
ILMN_1808554	1.61e-02	1.30e-06	-5.108529	5.13546	-0.4391394	TARSL2	threonyl-tRNA synthetase like 2
ILMN_1684197	1.63e-02	1.31e-06	-5.106264	5.12637	-0.2867664	GPKOW	G-patch domain and KOW motifs
ILMN_1669118	1.79e-02	1.44e-06	5.085012	5.04131	0.5474225	FUNDC2	FUN14 domain containing 2
ILMN_1702034	1.82e-02	1.47e-06	-5.080286	5.02243	-0.232956	PEX3	peroxisomal biogenesis factor 3
ILMN_1654561	1.85e-02	1.49e-06	-5.076989	5.00926	-0.6022956	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1
ILMN_1758087	1.89e-02	1.52e-06	5.072482	4.99126	0.3873488	TAOK1	TAO kinase 1
ILMN_1687057	1.94e-02	1.56e-06	-5.065513	4.96346	-0.4962105	RBM7	RNA binding motif protein 7
ILMN_1736741	2.01e-02	1.62e-06	5.058072	4.9338	0.4855367	RASSF8	Ras association domain family member 8
ILMN_1772880	2.02e-02	1.63e-06	-5.056454	4.92735	-0.5354252	UTP11	UTP11, small subunit processome component homolog (S. cerevisiae)
ILMN_1672947	2.21e-02	1.78e-06	-5.035723	4.84487	-0.6585026		
ILMN_1725896	2.26e-02	1.82e-06	5.030401	4.82373	0.583184	AMIGO2	adhesion molecule with Ig like domain 2
ILMN_1731442	2.41e-02	1.94e-06	-5.014953	4.76245	-0.3038259	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
ILMN_1755318	2.60e-02	2.09e-06	4.997599	4.69375	0.910317	HIST1H2AJ	histone cluster 1, H2aj
ILMN_1724699	2.80e-02	2.26e-06	-4.979824	4.62353	-0.7629929	ACAD8	acyl-CoA dehydrogenase family member 8
ILMN_1674072	3.10e-02	2.49e-06	4.956123	4.53016	0.562908	RBAK	RB associated KRAB zinc finger
ILMN_1759419	3.18e-02	2.56e-06	-4.950119	4.50655	-0.2667607	ILVBL	ilvB acetolactate synthase like
ILMN_1809439	3.19e-02	2.57e-06	-4.948993	4.50212	-0.3748741		
ILMN_1781231	3.29e-02	2.65e-06	4.941941	4.47442	0.3302406	SLC25A38	solute carrier family 25 member 38
ILMN_1664449	3.32e-02	2.67e-06	-4.940154	4.4674	-0.3816686	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase
ILMN_1694177	3.40e-02	2.74e-06	-4.934162	4.44389	-0.3816406	PCNA	proliferating cell nuclear antigen
ILMN_1716421	3.63e-02	2.92e-06	4.91898	4.38439	0.4968077	ADRA1D	adrenoceptor alpha 1D
ILMN_1728810	3.85e-02	3.10e-06	4.904757	4.32876	0.3762637	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
ILMN_1685431	4.29e-02	3.46e-06	4.878751	4.2273	0.6546504	DZIP1	DAZ interacting zinc finger protein 1
ILMN_1727600	4.55e-02	3.66e-06	4.865042	4.17395	0.5199433		
ILMN_1810901	4.62e-02	3.72e-06	-4.861251	4.15922	-0.4500505	RNASEH2A	ribonuclease H2 subunit A
ILMN_1738424	4.90e-02	3.94e-06	-4.847455	4.10566	-0.3740494	CDC42	cell division cycle 42
ILMN_1745110	4.95e-02	3.98e-06	-4.845058	4.09637	-0.2928218	LAPTM4A	lysosomal protein transmembrane 4 alpha
ILMN_1781047	5.09e-02	4.10e-06	-4.838162	4.06964	-0.3510158	FRMD8	FERM domain containing 8
ILMN_1654037	5.12e-02	4.12e-06	-4.836939	4.06491	-0.5449601	PPIE	peptidylprolyl isomerase E
ILMN_1815292	5.18e-02	4.17e-06	-4.833863	4.053	-0.3605844	RPL7	ribosomal protein L7
ILMN_1734231	5.19e-02	4.18e-06	-4.833549	4.05178	-0.5046088	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
ILMN_1708304	5.47e-02	4.40e-06	4.820974	4.00314	0.6820659	C11orf16	chromosome 11 open reading frame 16
ILMN_1786139	5.47e-02	4.40e-06	-4.820852	4.00267	-0.4608345	VKORC1	vitamin K epoxide reductase complex subunit 1
ILMN_1732909	5.49e-02	4.42e-06	-4.820125	3.99986	-0.5478492	ZNF483	zinc finger protein 483
ILMN_1778319	5.50e-02	4.43e-06	4.819527	3.99755	0.5739207	DMKN	dermokine
ILMN_1776347	5.80e-02	4.67e-06	-4.807038	3.94933	-0.2965378	TCP1	t-complex 1
ILMN_1663593	5.86e-02	4.72e-06	-4.80448	3.93946	-0.335237	TFB1M	transcription factor B1, mitochondrial
ILMN_1782076	7.11e-02	5.72e-06	4.757858	3.76025	0.5595028	EPHA3	EPH receptor A3
ILMN_1772329	7.24e-02	5.83e-06	-4.753372	3.74307	-0.3131552	LRRFIP2	LRR binding FLII interacting protein 2
ILMN_1760271	7.33e-02	5.90e-06	-4.750331	3.73142	-0.452272	ZBTB41	zinc finger and BTB domain containing 41
ILMN_1777139	7.47e-02	6.01e-06	-4.745889	3.71443	-0.2986842	MAK16	MAK16 homolog
ILMN_1675669	7.78e-02	6.26e-06	-4.735907	3.67627	-0.2597849	IBTK	inhibitor of Bruton tyrosine kinase
ILMN_1741059	7.83e-02	6.30e-06	4.734535	3.67103	0.7333432	SCN1A	sodium voltage-gated channel alpha subunit 1
ILMN_1812769	7.86e-02	6.33e-06	-4.733355	3.66652	-0.1993557	UBXN1	UBX domain protein 1
ILMN_1700220	7.91e-02	6.37e-06	-4.731882	3.6609	-0.6006684	ATAD5	ATPase family, AAA domain containing 5
ILMN_1660270	7.96e-02	6.41e-06	-4.730326	3.65496	-0.416578	CCZ1B	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated
ILMN_1678808	8.00e-02	6.44e-06	-4.729198	3.65065	-0.2607352	ATG14	autophagy related 14
ILMN_1685012	8.36e-02	6.73e-06	-4.718529	3.60997	-0.3565963	EAF1	ELL associated factor 1
ILMN_1812701	8.52e-02	6.86e-06	-4.713921	3.59241	-0.5284653	C4orf33	chromosome 4 open reading frame 33
ILMN_1757723	8.53e-02	6.87e-06	4.713536	3.59094	0.7017291	C6orf106	chromosome 6 open reading frame 106
ILMN_1728341	9.70e-02	7.81e-06	4.682215	3.47194	0.5525628	BRD4	bromodomain containing 4
ILMN_1719423	9.73e-02	7.83e-06	-4.681618	3.46967	-0.482681	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35
ILMN_1745079	1.01e-01	8.17e-06	-4.671402	3.43097	-0.3209886	TRIM2	tripartite motif containing 2
ILMN_1663313	1.03e-01	8.32e-06	-4.666937	3.41407	-0.4567365	AMY1C	amylase, alpha 1C (salivary)
ILMN_1658015	1.04e-01	8.38e-06	-4.664926	3.40647	-0.3981659	MBNL2	muscleblind like splicing regulator 2
ILMN_1670769	1.07e-01	8.61e-06	-4.658539	3.38232	-0.5272669	CENPQ	centromere protein Q
ILMN_1786707	1.11e-01	8.93e-06	-4.649417	3.34788	-0.6155556	EMC10	ER membrane protein complex subunit 10
ILMN_1752566	1.13e-01	9.13e-06	-4.644056	3.32766	-0.38365	PTGES3	prostaglandin E synthase 3
ILMN_1714222	1.14e-01	9.15e-06	4.643611	3.32598	0.7182923	C1orf105	chromosome 1 open reading frame 105
ILMN_1813307	1.14e-01	9.15e-06	4.643526	3.32566	0.5543526	C1QTNF2	C1q and tumor necrosis factor related protein 2
ILMN_1736972	1.14e-01	9.21e-06	-4.642023	3.32	-0.4958865	GKAP1	G kinase anchoring protein 1
ILMN_1719468	1.17e-01	9.43e-06	-4.636169	3.29794	-0.5238309	EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)
ILMN_1736939	1.18e-01	9.53e-06	4.633621	3.28834	0.4715219	UGCG	UDP-glucose ceramide glucosyltransferase
ILMN_1758542	1.21e-01	9.74e-06	4.628264	3.26818	0.4256593		
ILMN_1772817	1.23e-01	9.94e-06	4.623177	3.24905	0.4926115	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
ILMN_1678775	1.28e-01	1.03e-05	-4.614784	3.21752	-0.250267	CLEC2D	C-type lectin domain family 2 member D
ILMN_1685796	1.32e-01	1.06e-05	-4.606827	3.18766	-0.4121963	CSDE1	cold shock domain containing E1
ILMN_1666618	1.55e-01	1.25e-05	-4.566272	3.03603	-0.4457593	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1
ILMN_1783852	1.57e-01	1.26e-05	-4.563933	3.02731	-0.6956584	CD164	CD164 molecule
ILMN_1678831	1.58e-01	1.28e-05	4.561668	3.01887	0.531883	GCC2	GRIP and coiled-coil domain containing 2
ILMN_1739192	1.62e-01	1.31e-05	-4.555501	2.9959	-0.5632363	SPAG16	sperm associated antigen 16
ILMN_1688098	1.64e-01	1.32e-05	4.553513	2.98851	0.2946468	TBC1D4	TBC1 domain family member 4
ILMN_1718069	1.64e-01	1.32e-05	-4.553084	2.98691	-0.2715711	MIS12	MIS12, kinetochore complex component
ILMN_1653867	1.70e-01	1.37e-05	-4.544497	2.95498	-0.6445781	ZNF483	zinc finger protein 483
ILMN_1700847	1.70e-01	1.37e-05	-4.544294	2.95423	-0.4878955	PMS1	PMS1 homolog 1, mismatch repair system component
ILMN_1813585	1.91e-01	1.53e-05	4.515551	2.84766	0.8153157	FEZF1	FEZ family zinc finger 1
ILMN_1807357	1.95e-01	1.57e-05	-4.50984	2.82655	-0.2788767	NHLRC3	NHL repeat containing 3
ILMN_1689725	2.14e-01	1.73e-05	-4.486216	2.73938	-0.6255372	RPLP1	ribosomal protein lateral stalk subunit P1
ILMN_1805696	2.14e-01	1.73e-05	4.486138	2.7391	0.3555258	DFFA	DNA fragmentation factor subunit alpha
ILMN_1800881	2.17e-01	1.75e-05	-4.483002	2.72755	-0.3987977	FAIM	Fas apoptotic inhibitory molecule
ILMN_1726175	2.29e-01	1.84e-05	4.469741	2.67878	0.5395122	ITGAX	integrin subunit alpha X
ILMN_1763730	2.30e-01	1.85e-05	-4.468433	2.67398	-0.2240687	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
ILMN_1666111	2.34e-01	1.88e-05	-4.46433	2.65891	-0.549852	YTHDC1	YTH domain containing 1
ILMN_1752954	2.44e-01	1.96e-05	-4.454204	2.62177	-0.3419291	EMC1	ER membrane protein complex subunit 1
ILMN_1751016	2.45e-01	1.97e-05	4.452483	2.61547	0.740258	LONRF2	LON peptidase N-terminal domain and ring finger 2
ILMN_1715482	2.45e-01	1.97e-05	-4.452378	2.61508	-0.3314505	ULK2	unc-51 like autophagy activating kinase 2
ILMN_1785266	2.49e-01	2.01e-05	-4.448533	2.601	-0.489542	OFD1	OFD1, centriole and centriolar satellite protein
ILMN_1683120	2.53e-01	2.04e-05	-4.444296	2.58549	-0.534744	UNG	uracil DNA glycosylase
ILMN_1655165	2.68e-01	2.16e-05	-4.430223	2.53405	-0.3289372	RNF138	ring finger protein 138
ILMN_1779095	2.69e-01	2.16e-05	4.429279	2.53061	0.8004262	CEBPE	CCAAT/enhancer binding protein epsilon
ILMN_1756860	2.71e-01	2.18e-05	-4.427323	2.52347	-0.4110903	TXNL1	thioredoxin like 1
ILMN_1685845	2.74e-01	2.20e-05	4.424691	2.51387	0.5786737	POLDIP3	DNA polymerase delta interacting protein 3
ILMN_1692133	2.92e-01	2.35e-05	-4.408332	2.45427	-0.4306018	ZNF226	zinc finger protein 226
ILMN_1738263	3.19e-01	2.57e-05	-4.385596	2.37169	-0.3145821	PIGU	phosphatidylinositol glycan anchor biosynthesis class U
ILMN_1707958	3.20e-01	2.57e-05	4.385545	2.37151	0.8405643	AES	amino-terminal enhancer of split
ILMN_1745116	3.22e-01	2.59e-05	-4.38383	2.36529	-0.3860252	ABHD12	abhydrolase domain containing 12
ILMN_1658207	3.36e-01	2.71e-05	4.372608	2.32466	0.5230578		
ILMN_1751839	3.39e-01	2.73e-05	4.370581	2.31733	0.4687307	RUNX3	runt related transcription factor 3
ILMN_1769702	3.42e-01	2.75e-05	-4.3681	2.30835	-0.31455	GPAA1	glycosylphosphatidylinositol anchor attachment 1
ILMN_1699179	3.48e-01	2.80e-05	4.363779	2.29274	0.5666755	BPTF	bromodomain PHD finger transcription factor
ILMN_1768850	3.50e-01	2.82e-05	-4.3624	2.28776	-0.5480411		
ILMN_1692168	3.50e-01	2.82e-05	-4.362231	2.28715	-0.2548729	UBE2Z	ubiquitin conjugating enzyme E2 Z
ILMN_1661485	3.54e-01	2.85e-05	-4.3591	2.27584	-0.267294	RBM34	RNA binding motif protein 34
ILMN_1683305	3.60e-01	2.90e-05	-4.355236	2.2619	-0.3832194	COMMD2	COMM domain containing 2
ILMN_1774063	3.60e-01	2.90e-05	4.355138	2.26154	0.393084	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
ILMN_1765829	3.72e-01	3.00e-05	4.346458	2.23025	0.3945275	NUFIP2	NUFIP2, FMR1 interacting protein 2
ILMN_1687636	3.76e-01	3.03e-05	4.3438	2.22068	0.7031829	ABCA2	ATP binding cassette subfamily A member 2
ILMN_1720088	3.84e-01	3.09e-05	-4.338835	2.20281	-0.3613695	SREK1	splicing regulatory glutamic acid and lysine rich protein 1
ILMN_1807379	3.97e-01	3.20e-05	4.330152	2.17159	0.3847094	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
ILMN_1683261	4.07e-01	3.27e-05	-4.324044	2.14965	-0.4443119	PICALM	phosphatidylinositol binding clathrin assembly protein
ILMN_1666670	4.19e-01	3.37e-05	-4.316588	2.12291	-0.2161212	RBX1	ring-box 1
ILMN_1751589	4.23e-01	3.41e-05	-4.31378	2.11284	-0.5233567	NUDCD2	NudC domain containing 2
ILMN_1665376	4.25e-01	3.42e-05	-4.312705	2.10899	-0.3079222	VCP	valosin containing protein
ILMN_1742827	4.54e-01	3.66e-05	-4.29544	2.04722	-0.2053131	EXOC4	exocyst complex component 4
ILMN_1694798	4.62e-01	3.72e-05	-4.291116	2.03178	-0.3779482	TMEM267	transmembrane protein 267
ILMN_1714905	4.62e-01	3.72e-05	-4.290947	2.03118	-0.4392456		
ILMN_1675085	4.69e-01	3.77e-05	-4.287542	2.01903	-0.2793177	UBA6	ubiquitin like modifier activating enzyme 6
ILMN_1738150	4.90e-01	3.94e-05	-4.27619	1.97856	-0.3026767	SUMO2	small ubiquitin-like modifier 2
ILMN_1696716	4.98e-01	4.01e-05	-4.271969	1.96354	-0.3917736		
ILMN_1695902	5.13e-01	4.13e-05	-4.264014	1.93525	-0.4324189	ZFP1	ZFP1 zinc finger protein
ILMN_1744986	5.14e-01	4.13e-05	-4.263833	1.93461	-0.4536487	ZNF350	zinc finger protein 350
ILMN_1741422	5.14e-01	4.14e-05	-4.263637	1.93391	-0.391813		
ILMN_1797594	5.16e-01	4.15e-05	4.262589	1.93018	0.4199643	NFAT5	nuclear factor of activated T-cells 5
ILMN_1685258	5.38e-01	4.33e-05	-4.251941	1.89239	-0.3454888	TMEM14B	transmembrane protein 14B
ILMN_1698470	5.47e-01	4.40e-05	-4.247581	1.87693	-0.5317642	SYAP1	synapse associated protein 1
ILMN_1777725	5.51e-01	4.43e-05	4.245755	1.87046	0.5536675	LSM14B	LSM family member 14B
ILMN_1683883	5.69e-01	4.58e-05	-4.23744	1.84102	-0.3697893	ACY1	aminoacylase 1
ILMN_1692390	5.87e-01	4.73e-05	4.229027	1.81128	0.4684856	CCNT1	cyclin T1
ILMN_1779376	6.01e-01	4.84e-05	4.223218	1.79076	0.3327589	GSK3B	glycogen synthase kinase 3 beta
ILMN_1731714	6.07e-01	4.88e-05	-4.220596	1.78151	-0.5880155	CREB5	cAMP responsive element binding protein 5
ILMN_1815666	6.28e-01	5.06e-05	4.211463	1.74932	0.2595476	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1679378	6.30e-01	5.07e-05	-4.210935	1.74746	-0.2294454	HNRNPL	heterogeneous nuclear ribonucleoprotein L
ILMN_1799488	6.53e-01	5.26e-05	-4.201339	1.71369	-0.3713626	ZNF383	zinc finger protein 383
ILMN_1783818	6.86e-01	5.52e-05	4.188509	1.66863	0.6766891		
ILMN_1731137	7.03e-01	5.66e-05	-4.182006	1.64582	-0.4359148	TXNDC9	thioredoxin domain containing 9
ILMN_1792518	7.06e-01	5.68e-05	-4.181041	1.64245	-0.3973795	STX7	syntaxin 7
ILMN_1768877	7.07e-01	5.70e-05	4.180442	1.64035	0.435447	CCDC7	coiled-coil domain containing 7
ILMN_1738642	7.30e-01	5.88e-05	-4.172246	1.61165	-0.2873622	CMPK1	cytidine/uridine monophosphate kinase 1
ILMN_1806691	7.49e-01	6.03e-05	4.165428	1.58781	0.6193251	GHSR	growth hormone secretagogue receptor
ILMN_1781630	7.53e-01	6.06e-05	-4.164222	1.5836	-0.3062762	SIVA1	SIVA1 apoptosis inducing factor
ILMN_1718079	7.69e-01	6.19e-05	4.158507	1.56364	0.6449963	HOXB1	homeobox B1
ILMN_1789961	8.14e-01	6.55e-05	-4.143574	1.51159	-0.3778031	RETSAT	retinol saturase
ILMN_1670439	8.28e-01	6.66e-05	-4.139214	1.49642	-0.2266906	FYTTD1	forty-two-three domain containing 1
ILMN_1778951	8.29e-01	6.67e-05	-4.138806	1.495	-0.2734011	C6orf203	chromosome 6 open reading frame 203
ILMN_1655834	8.32e-01	6.70e-05	-4.137821	1.49158	-0.3468069	HSPB11	heat shock protein family B (small) member 11
ILMN_1754921	8.36e-01	6.73e-05	4.136395	1.48662	0.6885629	FAM43B	family with sequence similarity 43 member B
ILMN_1794282	8.42e-01	6.78e-05	4.134689	1.48069	0.694117	KCNMA1	potassium calcium-activated channel subfamily M alpha 1
ILMN_1748578	8.71e-01	7.01e-05	4.125706	1.44949	0.3837781	RAD21	RAD21 cohesin complex component
ILMN_1714756	8.90e-01	7.16e-05	-4.120111	1.43009	-0.3024777	YIPF5	Yip1 domain family member 5
ILMN_1810684	9.07e-01	7.30e-05	4.115059	1.41258	0.3801923	TINAG	tubulointerstitial nephritis antigen
ILMN_1660852	9.15e-01	7.37e-05	-4.112541	1.40386	-0.4473432	ZC3H6	zinc finger CCCH-type containing 6
ILMN_1744905	9.24e-01	7.44e-05	-4.110054	1.39526	-0.2921172	AIG1	androgen induced 1
ILMN_1692026	9.55e-01	7.69e-05	-4.101299	1.36499	-0.3691577	KMT5B	lysine methyltransferase 5B
ILMN_1784512	1.00	8.06e-05	-4.088665	1.32139	-0.2689289	NR2C2AP	nuclear receptor 2C2 associated protein
ILMN_1770787	1.00	8.20e-05	-4.084247	1.30616	-0.6011074	DDAH2	dimethylarginine dimethylaminohydrolase 2
ILMN_1803647	1.00	8.20e-05	-4.084104	1.30567	-0.599125	FAM162A	family with sequence similarity 162 member A
ILMN_1701058	1.00	8.26e-05	-4.082355	1.29964	-0.2975263	TATDN1	TatD DNase domain containing 1
ILMN_1673455	1.00	8.30e-05	4.081083	1.29527	0.4946428	RASAL2	RAS protein activator like 2
ILMN_1709936	1.00	8.47e-05	-4.075696	1.27673	-0.4358458	LYRM7	LYR motif containing 7
ILMN_1667201	1.00	8.53e-05	-4.073679	1.2698	-0.4616686	POC1B	POC1 centriolar protein B
ILMN_1727288	1.00	8.56e-05	4.072847	1.26694	0.7495949	EVPL	envoplakin
ILMN_1772113	1.00	9.09e-05	-4.056763	1.21173	-0.2300009	U2AF1	U2 small nuclear RNA auxiliary factor 1
ILMN_1655827	1.00	9.19e-05	-4.05394	1.20206	-0.4806062	COPS2	COP9 signalosome subunit 2
ILMN_1657405	1.00	9.20e-05	-4.053437	1.20034	-0.3116867	SPPL3	signal peptide peptidase like 3
ILMN_1726327	1.00	9.25e-05	-4.052016	1.19547	-0.6449634	AMY1C	amylase, alpha 1C (salivary)
ILMN_1725244	1.00	9.31e-05	-4.050233	1.18936	-0.3390129		
ILMN_1659199	1.00	9.47e-05	4.045841	1.17434	1.202074	GRIN1	glutamate ionotropic receptor NMDA type subunit 1
ILMN_1746578	1.00	9.54e-05	-4.0437	1.16701	-0.3566638	SLC23A2	solute carrier family 23 member 2
ILMN_1677624	1.00	9.80e-05	4.036584	1.1427	0.9118118	NXPH2	neurexophilin 2
ILMN_1807939	1.00	1.02e-04	-4.025162	1.10374	-0.3171346	MAGEF1	MAGE family member F1
ILMN_1696845	1.00	1.06e-04	4.016118	1.07295	0.6560629	ARHGAP35	Rho GTPase activating protein 35
ILMN_1657836	1.00	1.06e-04	4.014928	1.0689	0.617678	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2
ILMN_1739854	1.00	1.10e-04	-4.005398	1.03652	-0.337915	KATNBL1	katanin regulatory subunit B1 like 1
